epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8396,1.06908,2.42532,1.25535,0.98815,0.24074,0.27122,0.23042,0.97631,2.82723,1.12126,0.000406977,0.000406977,0.000406977
2,19.9987,0.96654,1.34868,1.15503,0.92834,0.35193,0.67111,0.48808,0.99172,1.9522,1.14127,0.000815489,0.000815489,0.000815489
3,29.3128,0.92909,1.23125,1.14407,0.79788,0.73539,0.80322,0.58679,0.92791,1.46044,1.10638,0.00121575,0.00121575,0.00121575
4,38.2094,0.89877,1.13483,1.10962,0.69705,0.77014,0.72208,0.54489,0.85402,1.13887,1.06025,0.00121287,0.00121287,0.00121287
5,46.9918,0.8716,1.08627,1.09546,0.8702,0.73761,0.81647,0.59877,0.95993,1.00834,1.07612,0.0012005,0.0012005,0.0012005
6,55.8462,0.82981,1.04755,1.08595,0.85435,0.72624,0.80951,0.60999,0.98462,1.07628,1.07918,0.00118812,0.00118812,0.00118812
