epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.0519,0.63999,2.59134,0.89134,0.7716,0.86296,0.85552,0.77202,0.44874,1.6756,0.8469,0.00036757,0.00036757,0.00036757
2,68.2945,0.54199,1.5214,0.86686,0.59412,0.84279,0.80722,0.7235,0.4534,0.99481,0.85533,0.000730598,0.000730598,0.000730598
3,98.4435,0.55418,1.22955,0.88478,0.75013,0.92344,0.86145,0.76162,0.48506,0.85001,0.87561,0.00108629,0.00108629,0.00108629
4,128.932,0.5416,0.99126,0.87773,0.79543,0.92046,0.87935,0.79726,0.44505,0.79683,0.85408,0.001078,0.001078,0.001078
5,157.317,0.52144,0.87696,0.87437,0.78411,0.9296,0.95149,0.87371,0.40347,0.65176,0.83515,0.001067,0.001067,0.001067
6,186.899,0.50225,0.77952,0.86365,0.87008,0.92901,0.95685,0.87653,0.41784,0.58525,0.84389,0.00105601,0.00105601,0.00105601
7,215.909,0.4962,0.70363,0.86092,0.85692,0.92259,0.96712,0.88909,0.41404,0.51537,0.83662,0.00104501,0.00104501,0.00104501
8,244.543,0.49102,0.66964,0.85836,0.6614,0.87316,0.88758,0.80747,0.43618,1.30644,0.85102,0.00103401,0.00103401,0.00103401
9,273.091,0.48024,0.66639,0.86618,0.95369,0.93891,0.97858,0.89698,0.4193,0.44425,0.83853,0.00102301,0.00102301,0.00102301
10,301.078,0.48183,0.59217,0.86409,0.74974,0.86892,0.94847,0.86502,0.43162,0.90655,0.85027,0.00101201,0.00101201,0.00101201
11,329.107,0.47176,0.53855,0.86217,0.94639,0.92061,0.97389,0.90332,0.39396,0.40578,0.83172,0.00100101,0.00100101,0.00100101
12,357.256,0.45755,0.55319,0.8579,0.93533,0.91791,0.98377,0.90949,0.40562,0.44383,0.83561,0.000990012,0.000990012,0.000990012
13,385.177,0.45326,0.51477,0.8518,0.84065,0.95556,0.97359,0.89816,0.39605,0.50186,0.83824,0.000979013,0.000979013,0.000979013
14,413.46,0.46098,0.51967,0.85091,0.95445,0.93185,0.98078,0.91098,0.37813,0.36825,0.82735,0.000968014,0.000968014,0.000968014
15,441.533,0.45793,0.5102,0.85527,0.95841,0.96533,0.98796,0.91337,0.39172,0.33175,0.8273,0.000957015,0.000957015,0.000957015
16,470.136,0.46207,0.47781,0.85488,0.88966,0.8861,0.95945,0.89441,0.37676,0.62259,0.82805,0.000946016,0.000946016,0.000946016
