Field	Red Robot	Yellow Robot	Ball
(387.3643493652344, 370.3807373046875)	(539.3726806640625, 214.44126892089844)	(219.2845916748047, 101.60188293457031)	(189.59466552734375, 87.32683563232422)
(387.10577392578125, 370.7619934082031)	(181.95567321777344, 106.64422607421875)	(610.224365234375, 99.94990539550781)	(579.5303344726562, 85.05021667480469)
(387.26995849609375, 371.3656921386719)	(539.4185180664062, 213.2528839111328)	(227.92994689941406, 207.13917541503906)	(189.69163513183594, 87.85508728027344)
(387.7331848144531, 371.2401123046875)	(181.9546356201172, 107.00446319580078)	(219.20530700683594, 102.1797103881836)	(580.4993896484375, 85.78623962402344)
(387.38677978515625, 370.94281005859375)	(539.531005859375, 212.39175415039062)	(610.2365112304688, 100.3318862915039)	(189.56399536132812, 88.34272003173828)
(386.9368896484375, 370.8814697265625)	(182.01438903808594, 107.78555297851562)	(227.74147033691406, 209.20440673828125)	(582.4625854492188, 86.23907470703125)
(385.96441650390625, 370.9183349609375)	(539.5969848632812, 211.40499877929688)	(219.05247497558594, 102.08209991455078)	(187.6820526123047, 89.43110656738281)
(385.707275390625, 370.681640625)	(182.03268432617188, 108.03329467773438)	(609.7630004882812, 101.1727066040039)	(582.2047119140625, 87.54839324951172)
(384.9524230957031, 370.151123046875)	(142.94906616210938, 215.8268280029297)	(227.57110595703125, 209.35763549804688)	(187.0909881591797, 89.37004852294922)
(384.994384765625, 370.9015808105469)	(539.6333618164062, 210.56626892089844)	(219.7708282470703, 102.79370880126953)	(581.7647705078125, 87.47679138183594)
(384.6978454589844, 368.8309326171875)	(182.05308532714844, 108.8188705444336)	(609.8807983398438, 102.34739685058594)	(629.5361938476562, 6.094674110412598)
(384.23309326171875, 366.98406982421875)	(143.01747131347656, 215.25772094726562)	(227.5850372314453, 210.74276733398438)	(187.61740112304688, 89.38673400878906)
(383.33563232421875, 363.5382080078125)	(539.5721435546875, 210.16433715820312)	(219.5841064453125, 102.9412841796875)	(580.8262939453125, 87.55284881591797)
(382.3952331542969, 358.2816467285156)	(182.19606018066406, 109.60508728027344)	(609.856689453125, 102.19515228271484)	(629.4214477539062, 6.288585662841797)
(382.3916015625, 358.2864990234375)	(143.01251220703125, 215.20098876953125)	(227.57003784179688, 212.04837036132812)	(187.9132080078125, 88.85208129882812)
(381.28399658203125, 352.19549560546875)	(539.4431762695312, 209.82444763183594)	(219.5946044921875, 103.45978546142578)	(580.9278564453125, 87.04508209228516)
(376.1730041503906, 334.4647521972656)	(182.01364135742188, 109.21775817871094)	(610.1727294921875, 102.61493682861328)	(629.8814697265625, 6.0906081199646)
(376.46722412109375, 335.0868225097656)	(142.9720916748047, 214.6838836669922)	(227.7108917236328, 212.67990112304688)	(188.16409301757812, 88.28640747070312)
(375.15869140625, 333.740966796875)	(539.2630004882812, 209.39517211914062)	(219.2039031982422, 103.51288604736328)	(580.922607421875, 86.6703872680664)
(374.73980712890625, 331.6561584472656)	(182.1103057861328, 110.02522277832031)	(610.7637939453125, 102.24253845214844)	(630.1951293945312, 5.902569770812988)
(374.11083984375, 327.25714111328125)	(142.78062438964844, 214.76979064941406)	(227.9254150390625, 212.53150939941406)	(188.27496337890625, 87.64772033691406)
(374.3384704589844, 320.9148254394531)	(539.19921875, 208.70297241210938)	(218.93881225585938, 103.48365783691406)	(580.9868774414062, 86.3346176147461)
(374.5917053222656, 320.778564453125)	(182.01976013183594, 110.5150146484375)	(610.9255981445312, 102.2283935546875)	(630.4620361328125, 6.01750373840332)
(374.11614990234375, 313.8868103027344)	(142.6909942626953, 214.4463348388672)	(228.12376403808594, 213.1909637451172)	(189.03001403808594, 87.30850982666016)
