Field	Red Robot	Yellow Robot	Ball
(406.4220886230469, 317.2130432128906)	(161.3367462158203, 164.2560272216797)	(221.71864318847656, 131.8596954345703)	(401.4123229980469, 326.39410400390625)
(406.66168212890625, 319.51727294921875)	(529.3868408203125, 96.68150329589844)	(201.9390411376953, 61.684898376464844)	(476.1043395996094, 53.371761322021484)
(406.6303405761719, 320.3038024902344)	(131.04464721679688, 95.47528839111328)	(221.2833251953125, 131.9345703125)	(401.8373107910156, 326.37005615234375)
(406.749267578125, 319.9442138671875)	(553.5050048828125, 158.03884887695312)	(202.5708770751953, 61.51152420043945)	(476.45733642578125, 53.53854751586914)
(406.793212890625, 319.7524108886719)	(161.21861267089844, 164.93553161621094)	(221.33238220214844, 131.83734130859375)	(402.1413879394531, 326.4717102050781)
(406.77392578125, 319.7049255371094)	(529.87744140625, 96.34307861328125)	(202.367431640625, 61.745025634765625)	(477.08441162109375, 53.71808624267578)
(406.68682861328125, 320.3988342285156)	(130.79425048828125, 93.34779357910156)	(222.26942443847656, 131.6984100341797)	(402.529541015625, 326.65887451171875)
(406.61572265625, 319.6561584472656)	(554.4758911132812, 158.97015380859375)	(202.69998168945312, 62.09142303466797)	(477.2501220703125, 54.27459716796875)
(406.7175598144531, 319.4815979003906)	(161.11793518066406, 165.17575073242188)	(222.37637329101562, 131.49725341796875)	(402.61419677734375, 326.8470153808594)
(406.094482421875, 319.4651794433594)	(530.3878173828125, 95.88068389892578)	(202.33074951171875, 62.185142517089844)	(477.578369140625, 54.38574981689453)
(405.8487854003906, 318.98095703125)	(130.76979064941406, 91.62938690185547)	(222.0788116455078, 131.10325622558594)	(402.8985290527344, 327.32073974609375)
(405.6922912597656, 318.0974426269531)	(554.8851318359375, 159.6914825439453)	(203.0144805908203, 62.1667594909668)	(477.4494323730469, 54.51337432861328)
(405.5323181152344, 317.4263000488281)	(161.39572143554688, 165.62490844726562)	(222.85398864746094, 130.97604370117188)	(402.6111755371094, 327.4535217285156)
(405.5347595214844, 317.2220153808594)	(530.79052734375, 95.10224914550781)	(203.2666473388672, 62.101646423339844)	(478.0132141113281, 53.99870300292969)
(405.73907470703125, 316.8728942871094)	(130.7662811279297, 90.9559326171875)	(223.9663543701172, 130.7828826904297)	(402.69671630859375, 327.24468994140625)
(405.7255859375, 317.0521545410156)	(553.649658203125, 160.0719451904297)	(203.762451171875, 61.98408126831055)	(478.28228759765625, 54.060516357421875)
(405.585205078125, 316.7874450683594)	(161.52139282226562, 166.15225219726562)	(224.8151092529297, 130.68812561035156)	(403.0657653808594, 327.1064453125)
(405.3411560058594, 316.60797119140625)	(530.9086303710938, 93.40941619873047)	(203.03448486328125, 61.87012481689453)	(478.4989013671875, 53.871482849121094)
(405.3645324707031, 316.27001953125)	(130.88998413085938, 90.04820251464844)	(223.15118408203125, 130.7657012939453)	(402.771240234375, 327.0702819824219)
(405.4815673828125, 316.20599365234375)	(553.58203125, 160.7586212158203)	(202.82591247558594, 61.66050338745117)	(478.5328369140625, 54.04239273071289)
(405.7259521484375, 315.9233093261719)	(161.56605529785156, 166.66737365722656)	(222.65919494628906, 130.5706329345703)	(402.8731689453125, 327.4091796875)
(405.90899658203125, 315.55657958984375)	(530.9166259765625, 91.6163558959961)	(203.65867614746094, 61.32571029663086)	(478.5556945800781, 54.056495666503906)
(405.98785400390625, 314.82177734375)	(131.12123107910156, 88.72959899902344)	(224.67697143554688, 129.90280151367188)	(403.53070068359375, 325.6687316894531)
(405.96185302734375, 314.395751953125)	(556.8941040039062, 158.4759063720703)	(202.70237731933594, 61.492820739746094)	(478.7198486328125, 54.25907897949219)
(406.03021240234375, 315.171630859375)	(161.74342346191406, 167.20333862304688)	(227.02197265625, 133.01004028320312)	(403.7084655761719, 325.6802978515625)
(406.00390625, 315.34967041015625)	(531.0643310546875, 90.33267211914062)	(201.23150634765625, 61.85987854003906)	(479.01177978515625, 54.89406967163086)
(406.0250244140625, 314.5255126953125)	(132.0706787109375, 88.23596954345703)	(228.52044677734375, 134.406494140625)	(479.35784912109375, 55.28266143798828)
(406.0993957519531, 314.20196533203125)	(557.7645874023438, 157.89544677734375)	(200.20594787597656, 61.295650482177734)	(480.087890625, 55.442596435546875)
(406.50970458984375, 313.1208190917969)	(161.8129425048828, 167.66148376464844)	(228.12579345703125, 131.38943481445312)	(487.3334045410156, 58.580013275146484)
(406.5682678222656, 312.57135009765625)	(531.324951171875, 89.47882080078125)	(199.77281188964844, 60.1431999206543)	(489.9827575683594, 59.971282958984375)
(406.5256652832031, 312.2698059082031)	(132.88919067382812, 87.60169982910156)	(229.1357879638672, 129.97866821289062)	(490.7065124511719, 60.34130859375)
(406.3604736328125, 312.5355529785156)	(558.0978393554688, 157.72433471679688)	(200.0957794189453, 59.391414642333984)	(490.5474853515625, 60.48140335083008)
(406.3279113769531, 312.1322937011719)	(161.93690490722656, 168.30650329589844)	(230.21112060546875, 132.79150390625)	(150.66909790039062, 42.0867919921875)
(406.32879638671875, 312.1171875)	(531.8588256835938, 87.95194244384766)	(200.7073974609375, 59.04936599731445)	(150.9476318359375, 42.02878952026367)
(406.37445068359375, 311.89361572265625)	(133.768798828125, 87.03621673583984)	(231.62890625, 133.36598205566406)	(151.66891479492188, 42.22337341308594)
(406.3107604980469, 312.1769714355469)	(558.1459350585938, 157.90118408203125)	(200.60113525390625, 58.776580810546875)	(152.23062133789062, 42.108848571777344)
(405.9910888671875, 311.9462890625)	(162.0428924560547, 169.1269989013672)	(231.875244140625, 132.62637329101562)	(152.7806854248047, 42.1206169128418)
(405.98980712890625, 311.50738525390625)	(532.5317993164062, 86.74215698242188)	(200.43418884277344, 58.19072723388672)	(153.24832153320312, 41.907325744628906)
(404.7268981933594, 310.3720703125)	(134.5950164794922, 86.10438537597656)	(232.65603637695312, 131.3111572265625)	(153.5498046875, 41.74772262573242)
(404.1458740234375, 309.8954772949219)	(557.989990234375, 158.10926818847656)	(199.87368774414062, 57.31662368774414)	(154.1357879638672, 41.75294876098633)
(403.73388671875, 309.7173767089844)	(161.89830017089844, 169.94996643066406)	(233.34896850585938, 129.81272888183594)	(154.59628295898438, 41.92978286743164)
(405.04339599609375, 310.70281982421875)	(533.0768432617188, 85.20384216308594)	(198.1822967529297, 56.86891174316406)	(155.12765502929688, 41.983943939208984)
(403.7933349609375, 309.90692138671875)	(135.19680786132812, 84.66233825683594)	(231.39036560058594, 127.86935424804688)	(155.73446655273438, 42.04268264770508)
(402.9734191894531, 309.19659423828125)	(558.3206787109375, 158.07366943359375)	(198.52590942382812, 54.51707458496094)	(155.96005249023438, 42.064388275146484)
(402.9670715332031, 308.9154357910156)	(162.00701904296875, 170.1009979248047)	(228.88548278808594, 126.79774475097656)	(156.82369995117188, 42.03076934814453)
(403.0887145996094, 308.55157470703125)	(533.3005981445312, 84.20494079589844)	(198.88914489746094, 53.54309844970703)	(157.5902557373047, 41.98581314086914)
(403.21136474609375, 308.4988098144531)	(135.49591064453125, 83.87459564208984)	(227.05589294433594, 126.56671142578125)	(157.9434814453125, 42.06772232055664)
(402.87591552734375, 308.32354736328125)	(558.6641845703125, 157.93634033203125)	(198.2447967529297, 52.93146896362305)	(158.30152893066406, 42.088565826416016)
(404.060791015625, 309.2149353027344)	(159.51788330078125, 163.50132751464844)	(225.54559326171875, 125.77318572998047)	(158.6984405517578, 42.09739685058594)
(403.41748046875, 308.2778625488281)	(533.587646484375, 83.36442565917969)	(197.78843688964844, 52.29095458984375)	(159.0342559814453, 41.999794006347656)
(403.02203369140625, 307.6148376464844)	(135.67633056640625, 83.23295593261719)	(225.7479248046875, 125.16083526611328)	(159.3753204345703, 42.20636749267578)
(403.82098388671875, 308.1380920410156)	(559.147216796875, 157.76095581054688)	(198.58277893066406, 51.39986801147461)	(159.84246826171875, 42.20056915283203)
(403.88525390625, 308.45391845703125)	(160.91110229492188, 166.7783660888672)	(225.46299743652344, 124.17424011230469)	(160.0223388671875, 42.10114288330078)
(403.80224609375, 308.383056640625)	(533.70166015625, 82.71109008789062)	(199.00450134277344, 51.050846099853516)	(160.19668579101562, 42.156036376953125)
(404.08154296875, 308.29132080078125)	(135.7397003173828, 81.87626647949219)	(224.3528289794922, 122.7606201171875)	(160.21826171875, 42.1948127746582)
(403.96539306640625, 308.1136474609375)	(559.7374267578125, 157.40025329589844)	(199.71923828125, 50.907169342041016)	(160.40696716308594, 42.25034713745117)
(404.2055969238281, 308.2490234375)	(161.6320037841797, 168.21881103515625)	(224.88778686523438, 121.24072265625)	(160.7224884033203, 42.34624481201172)
(404.4801025390625, 308.1357421875)	(531.4588623046875, 82.98063659667969)	(199.04078674316406, 50.53809356689453)	(161.2010498046875, 42.449039459228516)
(404.5865783691406, 307.96337890625)	(135.80532836914062, 80.71548461914062)	(227.57131958007812, 120.07855224609375)	(161.5128631591797, 42.52607345581055)
(404.5457763671875, 307.6733703613281)	(560.1160888671875, 157.05796813964844)	(198.99021911621094, 49.95226287841797)	(161.75161743164062, 42.53205871582031)
(404.6563720703125, 307.4361877441406)	(162.45916748046875, 169.0421142578125)	(226.25021362304688, 119.41329193115234)	(161.83087158203125, 42.29217529296875)
(404.90191650390625, 306.9535827636719)	(530.8145751953125, 82.6139144897461)	(198.2621612548828, 49.781288146972656)	(161.99632263183594, 42.36233139038086)
(405.0124816894531, 306.6315612792969)	(135.54098510742188, 78.53337097167969)	(225.73406982421875, 118.40188598632812)	(162.25759887695312, 42.05817794799805)
(404.8512878417969, 306.2698059082031)	(560.2134399414062, 156.8804168701172)	(197.5677947998047, 49.347633361816406)	(162.4273223876953, 41.8516960144043)
(404.83612060546875, 306.12158203125)	(160.31185913085938, 162.09962463378906)	(227.12391662597656, 118.08016967773438)	(162.5199737548828, 41.77532958984375)
(404.7543640136719, 306.18829345703125)	(530.2442626953125, 81.8250732421875)	(197.300048828125, 49.2235221862793)	(162.51611328125, 41.54668045043945)
(404.947998046875, 306.009033203125)	(135.54412841796875, 77.08704376220703)	(227.3890380859375, 118.09329223632812)	(162.70010375976562, 41.2846565246582)
(404.64556884765625, 305.7420349121094)	(560.3609619140625, 156.50686645507812)	(197.4662628173828, 50.33081817626953)	(162.8311309814453, 41.083824157714844)
(404.3389892578125, 305.7763977050781)	(159.63600158691406, 159.1062469482422)	(227.6548309326172, 118.59149169921875)	(163.2399139404297, 41.28940200805664)
(404.0544128417969, 305.736083984375)	(135.7259521484375, 76.37895965576172)	(168.88975524902344, 153.1427459716797)	(163.6746368408203, 41.338592529296875)
(403.8603515625, 305.9786682128906)	(560.5042114257812, 156.174560546875)	(198.1480712890625, 51.682682037353516)	(164.07546997070312, 41.302513122558594)
(402.24920654296875, 305.04730224609375)	(161.97055053710938, 164.87075805664062)	(227.36842346191406, 119.12200927734375)	(164.55975341796875, 41.3627815246582)
(403.10772705078125, 305.595947265625)	(560.8055419921875, 155.7541046142578)	(169.3159637451172, 153.52362060546875)	(165.048095703125, 41.399173736572266)
(401.5256042480469, 304.9676208496094)	(161.13941955566406, 159.7835693359375)	(197.0799102783203, 52.37305450439453)	(165.1224822998047, 41.190765380859375)
(402.57421875, 304.815673828125)	(561.24072265625, 154.9860076904297)	(228.7611541748047, 119.4884262084961)	(165.50595092773438, 41.15752410888672)
(402.78302001953125, 304.7503662109375)	(161.10940551757812, 157.64044189453125)	(170.28720092773438, 153.48350524902344)	(165.8069610595703, 40.99442672729492)
(403.06146240234375, 304.5629577636719)	(559.819580078125, 153.95909118652344)	(197.10374450683594, 52.095664978027344)	(166.07652282714844, 40.84272766113281)
(403.1478271484375, 304.4246826171875)	(161.54864501953125, 156.52560424804688)	(228.0419921875, 119.11014556884766)	(166.8090362548828, 40.907371520996094)
(403.1269226074219, 303.8097229003906)	(561.3672485351562, 154.22769165039062)	(170.7891387939453, 152.80247497558594)	(167.45718383789062, 40.93721389770508)
(403.0860290527344, 303.54339599609375)	(161.99891662597656, 155.6766357421875)	(196.212646484375, 51.61162185668945)	(168.07972717285156, 40.86750030517578)
(403.1263732910156, 303.40374755859375)	(561.9074096679688, 154.11734008789062)	(228.29660034179688, 118.53875732421875)	(168.63482666015625, 40.908912658691406)
(403.345947265625, 302.9129943847656)	(162.81736755371094, 155.18946838378906)	(171.2596893310547, 151.6072235107422)	(168.6925506591797, 40.81884765625)
(401.9156799316406, 301.9104309082031)	(562.179443359375, 154.00784301757812)	(195.72946166992188, 51.158042907714844)	(168.73611450195312, 40.94586181640625)
(401.6385498046875, 301.7477111816406)	(163.99127197265625, 155.59361267089844)	(229.0038604736328, 118.05854034423828)	(168.4243621826172, 40.33106994628906)
(401.4476623535156, 301.2789611816406)	(562.4623413085938, 154.2499237060547)	(171.72735595703125, 151.00326538085938)	(168.47901916503906, 39.937294006347656)
(401.1819152832031, 301.8939208984375)	(165.0946044921875, 155.5288848876953)	(195.27264404296875, 50.9629020690918)	(168.49656677246094, 39.40284729003906)
(401.183837890625, 301.7221374511719)	(563.1528930664062, 154.23629760742188)	(228.90171813964844, 118.13674926757812)	(168.05564880371094, 38.78019332885742)
(401.1181335449219, 302.1170959472656)	(166.05059814453125, 155.8531494140625)	(171.31703186035156, 151.1653594970703)	(167.8105926513672, 38.761714935302734)
(401.1307373046875, 301.9606018066406)	(563.758056640625, 153.9044952392578)	(194.44290161132812, 50.6491584777832)	(167.4712371826172, 38.2512321472168)
(401.0329895019531, 301.14111328125)	(167.4136199951172, 156.06201171875)	(227.7440185546875, 117.61429595947266)	(166.62255859375, 37.634708404541016)
(400.794921875, 301.214599609375)	(564.6722412109375, 153.50840759277344)	(171.88743591308594, 151.53927612304688)	(166.19508361816406, 37.291988372802734)
(400.78076171875, 301.2233581542969)	(167.72706604003906, 156.1776885986328)	(192.61135864257812, 49.969627380371094)	(166.1312255859375, 36.97821044921875)
(400.71954345703125, 300.7840270996094)	(565.482666015625, 153.0596466064453)	(227.36419677734375, 116.57504272460938)	(166.03453063964844, 36.736473083496094)
(401.74493408203125, 301.2544250488281)	(167.76220703125, 156.20677185058594)	(191.90994262695312, 48.95027160644531)	(165.5921173095703, 36.04378890991211)
(402.614013671875, 302.85491943359375)	(566.0402221679688, 152.39437866210938)	(228.5723114013672, 115.50623321533203)	(566.5162963867188, 33.858455657958984)
(401.9613952636719, 301.17718505859375)	(167.70370483398438, 155.7225799560547)	(189.94667053222656, 48.58107376098633)	(165.33160400390625, 35.75529098510742)
(403.0273132324219, 302.4233093261719)	(566.1497802734375, 152.31629943847656)	(228.33705139160156, 114.75133514404297)	(566.1441650390625, 33.70719528198242)
(402.31085205078125, 300.98651123046875)	(167.39804077148438, 155.68455505371094)	(189.0408935546875, 48.56961441040039)	(165.30252075195312, 35.54164505004883)
(401.97674560546875, 300.437744140625)	(566.3910522460938, 151.8807830810547)	(227.8039093017578, 114.74539184570312)	(565.9755249023438, 33.358646392822266)
(402.14288330078125, 299.91802978515625)	(167.94664001464844, 155.20228576660156)	(189.796630859375, 48.400848388671875)	(165.8160400390625, 35.62664794921875)
(402.1073303222656, 299.989990234375)	(566.5384521484375, 151.4596405029297)	(228.7813262939453, 114.44071960449219)	(565.8828125, 33.158302307128906)
(402.0387268066406, 299.69940185546875)	(168.27061462402344, 154.97262573242188)	(189.3236083984375, 48.33866500854492)	(166.15623474121094, 35.617774963378906)
(402.1903381347656, 299.6428527832031)	(566.919189453125, 151.21365356445312)	(229.0093994140625, 114.10826110839844)	(565.7970581054688, 33.19301223754883)
(402.10870361328125, 299.55609130859375)	(168.7298583984375, 154.8366241455078)	(189.7045135498047, 47.556331634521484)	(166.17626953125, 35.71126174926758)
(401.6269226074219, 299.3634033203125)	(567.6873779296875, 151.346435546875)	(229.4036865234375, 115.53591918945312)	(565.7472534179688, 32.905792236328125)
(401.3624267578125, 299.3388977050781)	(169.03196716308594, 155.6258544921875)	(190.02093505859375, 47.00429916381836)	(166.33013916015625, 35.585906982421875)
(401.6947937011719, 298.9705810546875)	(567.888916015625, 151.8061065673828)	(230.08523559570312, 116.08858489990234)	(565.809326171875, 32.87677764892578)
(401.8238830566406, 298.8585510253906)	(169.03953552246094, 156.0015411376953)	(190.67491149902344, 46.29019546508789)	(166.28970336914062, 35.2431755065918)
(402.356689453125, 300.0686950683594)	(568.5693969726562, 151.49526977539062)	(231.95816040039062, 115.93133544921875)	(565.8485717773438, 32.827491760253906)
(401.90478515625, 299.3193054199219)	(169.5294189453125, 155.96206665039062)	(191.27044677734375, 45.77704620361328)	(166.49423217773438, 35.122337341308594)
(402.56591796875, 300.1160888671875)	(569.3927612304688, 151.69325256347656)	(233.0299530029297, 115.53469848632812)	(566.1522827148438, 32.561946868896484)
(403.2680969238281, 299.91339111328125)	(169.8964080810547, 156.52163696289062)	(190.7093048095703, 45.36378479003906)	(166.5417022705078, 34.76092529296875)
(403.7301330566406, 299.51104736328125)	(570.4828491210938, 150.7373809814453)	(233.63108825683594, 114.68153381347656)	(569.3997802734375, 35.91776657104492)
(403.480224609375, 298.9052429199219)	(170.46253967285156, 156.6179656982422)	(190.7206573486328, 45.25017547607422)	(166.54869079589844, 34.262699127197266)
(403.369384765625, 298.8858947753906)	(570.9984130859375, 150.67282104492188)	(234.1577606201172, 114.10999298095703)	(570.4752197265625, 36.777462005615234)
(403.9436340332031, 298.9573669433594)	(170.8368682861328, 156.90235900878906)	(189.70729064941406, 44.76487731933594)	(166.47642517089844, 34.12535095214844)
(403.9788818359375, 298.74969482421875)	(571.358154296875, 150.8152618408203)	(234.0969696044922, 113.67807006835938)	(570.6664428710938, 37.189170837402344)
(403.8601379394531, 298.6111145019531)	(171.1823272705078, 156.92140197753906)	(187.98410034179688, 45.15056610107422)	(166.49876403808594, 34.104248046875)
(404.2720947265625, 298.66839599609375)	(572.0057373046875, 151.28109741210938)	(233.35426330566406, 112.8492660522461)	(570.7589111328125, 37.761356353759766)
(404.429443359375, 298.4158630371094)	(171.4221649169922, 157.156982421875)	(187.6348114013672, 45.44791030883789)	(166.51016235351562, 34.19717788696289)
(404.543701171875, 297.7870788574219)	(572.1715087890625, 151.60414123535156)	(232.59835815429688, 111.36109924316406)	(570.7600708007812, 37.83932113647461)
(404.022216796875, 297.3648986816406)	(171.7498779296875, 157.18902587890625)	(187.13836669921875, 45.513710021972656)	(166.5713653564453, 33.90835952758789)
(404.4579772949219, 297.1529846191406)	(572.685302734375, 151.93771362304688)	(233.30213928222656, 110.27745819091797)	(570.8828125, 38.22830581665039)
(404.6705322265625, 296.7524719238281)	(172.15061950683594, 157.1959686279297)	(187.42919921875, 45.90968322753906)	(166.8221893310547, 33.87315368652344)
(404.98907470703125, 296.38714599609375)	(573.1073608398438, 152.42173767089844)	(232.7529754638672, 109.15093994140625)	(570.760498046875, 38.446266174316406)
(405.3731689453125, 295.3808898925781)	(172.51866149902344, 156.97348022460938)	(186.45819091796875, 45.34197235107422)	(166.91049194335938, 33.863224029541016)
(405.2333984375, 294.6881408691406)	(573.2192993164062, 153.71640014648438)	(232.65150451660156, 109.02320861816406)	(570.6885986328125, 38.16496276855469)
(405.20782470703125, 293.87432861328125)	(172.84095764160156, 156.7822265625)	(186.14340209960938, 44.21905517578125)	(167.0181427001953, 34.148216247558594)
(405.1211242675781, 293.4393310546875)	(573.897216796875, 153.71005249023438)	(232.91867065429688, 108.76849365234375)	(570.273681640625, 38.11233901977539)
(405.1610107421875, 293.2319030761719)	(173.16184997558594, 156.22132873535156)	(186.940673828125, 42.07837677001953)	(167.1195068359375, 34.31021499633789)
(404.9381408691406, 293.6241760253906)	(574.1566162109375, 153.8225555419922)	(234.05593872070312, 108.65789031982422)	(570.2694091796875, 37.934776306152344)
(403.3485107421875, 294.81866455078125)	(173.2687225341797, 155.66246032714844)	(186.87496948242188, 41.036041259765625)	(167.30931091308594, 34.328670501708984)
(402.74749755859375, 295.2911682128906)	(574.7674560546875, 154.74220275878906)	(234.60568237304688, 108.27262878417969)	(568.64111328125, 34.50434112548828)
(402.7917785644531, 295.32623291015625)	(173.56199645996094, 155.10523986816406)	(186.32461547851562, 40.77191162109375)	(167.37489318847656, 34.172245025634766)
(403.670654296875, 295.15771484375)	(575.6077880859375, 155.28683471679688)	(234.7115936279297, 108.04129028320312)	(569.6934814453125, 36.0272216796875)
(404.4107666015625, 294.0803527832031)	(173.93844604492188, 155.2222137451172)	(186.2122802734375, 41.02496337890625)	(167.46847534179688, 34.13086700439453)
(404.59564208984375, 294.5049743652344)	(576.3655395507812, 155.43667602539062)	(234.5738983154297, 108.18009185791016)	(570.3408813476562, 36.41374588012695)
(404.6903381347656, 294.43634033203125)	(174.21083068847656, 155.2266387939453)	(186.36959838867188, 40.74373245239258)	(167.98521423339844, 34.4521369934082)
(404.9395751953125, 294.4227600097656)	(577.365234375, 155.49395751953125)	(234.08883666992188, 107.55973052978516)	(168.52099609375, 34.722408294677734)
(405.4123840332031, 293.408203125)	(174.70870971679688, 154.9438018798828)	(187.0456085205078, 40.7928352355957)	(168.80291748046875, 34.36836624145508)
(403.68963623046875, 292.2494812011719)	(578.3656005859375, 155.7410430908203)	(234.51611328125, 106.61552429199219)	(168.9770050048828, 34.02986145019531)
(404.90521240234375, 292.34674072265625)	(175.23419189453125, 154.1222381591797)	(187.94491577148438, 40.819026947021484)	(169.1829833984375, 33.96178436279297)
(405.09161376953125, 291.6344299316406)	(578.844970703125, 156.84214782714844)	(235.24411010742188, 106.19779968261719)	(169.33029174804688, 34.29910659790039)
(405.34869384765625, 291.6609191894531)	(175.8247528076172, 153.78720092773438)	(188.99530029296875, 40.861392974853516)	(169.310546875, 34.24858474731445)
(405.63214111328125, 291.6567687988281)	(579.0142211914062, 157.59033203125)	(236.02598571777344, 106.0435562133789)	(169.60870361328125, 34.387908935546875)
(406.27117919921875, 293.26629638671875)	(176.12442016601562, 153.98794555664062)	(189.37913513183594, 40.73301696777344)	(169.8849334716797, 35.00258255004883)
(406.680419921875, 292.05474853515625)	(579.4453125, 157.3717498779297)	(235.90370178222656, 105.6969985961914)	(169.86837768554688, 35.3676872253418)
(406.8302001953125, 291.8924255371094)	(176.72389221191406, 154.0095672607422)	(190.26846313476562, 40.61869430541992)	(169.99044799804688, 35.784698486328125)
(407.03570556640625, 291.9162292480469)	(579.798828125, 157.24974060058594)	(236.06350708007812, 105.56193542480469)	(169.95570373535156, 35.93807601928711)
(407.0331115722656, 291.4402160644531)	(177.0422821044922, 154.0833740234375)	(190.95838928222656, 40.09415054321289)	(170.0135955810547, 36.19636917114258)
(407.19537353515625, 291.1126708984375)	(580.0826416015625, 156.77557373046875)	(236.43235778808594, 105.5457992553711)	(170.17837524414062, 36.91214370727539)
(407.1976318359375, 290.8457946777344)	(177.5390167236328, 153.9897918701172)	(191.5411376953125, 39.74148178100586)	(170.37229919433594, 37.67277145385742)
(407.4208679199219, 291.7950439453125)	(580.3260498046875, 156.39996337890625)	(235.4540252685547, 104.41539001464844)	(170.45025634765625, 38.0294303894043)
(407.3951721191406, 292.0807189941406)	(177.97637939453125, 153.82730102539062)	(191.89230346679688, 39.0445671081543)	(170.52740478515625, 38.65023422241211)
(407.2660827636719, 291.96600341796875)	(581.1226806640625, 156.02130126953125)	(235.02308654785156, 103.38536071777344)	(170.620361328125, 39.07932662963867)
(407.2264709472656, 292.5196228027344)	(178.66831970214844, 153.68116760253906)	(193.38255310058594, 39.01645278930664)	(170.57130432128906, 39.46268844604492)
(407.7440490722656, 292.27569580078125)	(580.871826171875, 156.1201629638672)	(235.1097869873047, 103.08854675292969)	(170.66287231445312, 39.6888542175293)
(407.6828918457031, 292.8358154296875)	(179.35020446777344, 153.64767456054688)	(193.09182739257812, 38.55408477783203)	(170.90138244628906, 40.46673583984375)
(407.8321838378906, 293.400146484375)	(580.8519287109375, 156.35748291015625)	(234.62290954589844, 102.91424560546875)	(170.934814453125, 40.9164924621582)
(407.7359313964844, 294.05389404296875)	(179.9960174560547, 153.94749450683594)	(193.43136596679688, 38.492156982421875)	(171.04141235351562, 41.08035659790039)
(407.64178466796875, 294.4400329589844)	(580.932861328125, 156.3269500732422)	(235.660400390625, 102.89349365234375)	(170.7013397216797, 40.21241760253906)
(407.611572265625, 294.5325012207031)	(180.8463134765625, 154.16319274902344)	(192.3489227294922, 37.53019714355469)	(170.36874389648438, 39.67555618286133)
(407.4661865234375, 295.21087646484375)	(581.2980346679688, 156.1194610595703)	(235.38555908203125, 102.39092254638672)	(170.2168426513672, 39.36831283569336)
(407.1264343261719, 296.1184387207031)	(181.66697692871094, 154.485595703125)	(191.93673706054688, 36.8576774597168)	(170.03497314453125, 39.03000259399414)
(406.7738037109375, 296.6150207519531)	(582.1575317382812, 156.83877563476562)	(236.10617065429688, 104.08196258544922)	(169.87625122070312, 38.80290222167969)
(406.870849609375, 297.01507568359375)	(182.0240936279297, 154.67095947265625)	(192.53643798828125, 36.417999267578125)	(169.80458068847656, 38.783058166503906)
(406.60546875, 297.27325439453125)	(582.72021484375, 157.15545654296875)	(235.38272094726562, 105.49712371826172)	(169.77862548828125, 38.81298065185547)
(406.5982971191406, 297.3407897949219)	(182.294189453125, 154.7376251220703)	(192.92169189453125, 36.313106536865234)	(169.83206176757812, 38.747467041015625)
(407.0242919921875, 298.27099609375)	(583.1463623046875, 157.3696746826172)	(235.7202606201172, 105.56243896484375)	(169.7456817626953, 38.68980026245117)
(406.7421875, 297.94329833984375)	(183.04995727539062, 155.76622009277344)	(190.90255737304688, 35.383331298828125)	(169.799560546875, 38.625614166259766)
(406.90521240234375, 297.8500061035156)	(583.5061645507812, 157.49697875976562)	(236.11293029785156, 103.42301940917969)	(169.88487243652344, 38.55649948120117)
(407.05072021484375, 298.4707336425781)	(183.1387481689453, 155.21481323242188)	(190.04299926757812, 34.67604446411133)	(169.87091064453125, 38.680721282958984)
(406.9830627441406, 298.19024658203125)	(153.1324005126953, 43.092464447021484)	(235.30580139160156, 101.91947937011719)	(169.81533813476562, 38.48863220214844)
(407.2444152832031, 297.71051025390625)	(583.9817504882812, 157.39535522460938)	(189.6508026123047, 34.24332809448242)	(169.81227111816406, 38.31468963623047)
(407.6970520019531, 298.4925231933594)	(183.3647918701172, 155.12075805664062)	(234.01644897460938, 103.15181732177734)	(169.76156616210938, 38.0341911315918)
(408.2677307128906, 299.05267333984375)	(152.95091247558594, 42.78218078613281)	(190.3714599609375, 33.898624420166016)	(169.80003356933594, 37.90288162231445)
(408.6184387207031, 299.22882080078125)	(583.9371948242188, 157.0625762939453)	(233.69345092773438, 104.24591827392578)	(169.86944580078125, 37.927207946777344)
(409.0106201171875, 298.808837890625)	(183.61280822753906, 155.34640502929688)	(190.4036407470703, 33.39109420776367)	(169.95420837402344, 37.98749923706055)
(408.6062927246094, 298.37445068359375)	(153.01036071777344, 42.39144515991211)	(233.3230743408203, 104.95319366455078)	(170.00230407714844, 37.98677062988281)
(408.63433837890625, 297.972900390625)	(583.8155517578125, 157.27645874023438)	(190.7361602783203, 33.034759521484375)	(169.99615478515625, 38.128692626953125)
(408.6175537109375, 297.1697082519531)	(183.7615966796875, 155.6660614013672)	(232.9356689453125, 104.13526153564453)	(170.0404510498047, 38.20710754394531)
(408.622314453125, 296.9127197265625)	(153.05880737304688, 42.43500900268555)	(190.32516479492188, 32.64292526245117)	(170.12989807128906, 38.22734069824219)
(408.9814758300781, 296.78515625)	(584.0021362304688, 156.64483642578125)	(232.3172149658203, 103.5359878540039)	(170.17970275878906, 38.143123626708984)
(408.8927001953125, 296.7652587890625)	(183.81011962890625, 155.78245544433594)	(165.11395263671875, 36.14765930175781)	(170.18223571777344, 38.268104553222656)
(408.8360290527344, 296.45361328125)	(153.4891357421875, 41.527740478515625)	(233.53135681152344, 104.0434799194336)	(170.2465362548828, 38.25733947753906)
(409.37542724609375, 296.3116455078125)	(584.44091796875, 157.36813354492188)	(155.50885009765625, 37.103851318359375)	(170.32383728027344, 38.23686218261719)
