epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,276.101,0.62112,0.7159,0.96513,0.85058,0.81558,0.84831,0.69929,0.77905,0.88125,0.9604,0.000742625,0.000742625,0.000742625
43,282.583,0.60974,0.73093,0.96857,0.75906,0.83594,0.84781,0.68796,0.7818,0.92437,0.98231,0.00073025,0.00073025,0.00073025
44,288.537,0.63201,0.80041,0.99639,0.80407,0.82852,0.84573,0.69372,0.80971,0.90704,1.00041,0.000717875,0.000717875,0.000717875
45,294.438,0.63397,0.74307,0.97974,0.87782,0.79911,0.8583,0.71083,0.76187,0.80806,0.98227,0.0007055,0.0007055,0.0007055
46,300.435,0.61568,0.73191,0.97135,0.83675,0.74278,0.81566,0.67743,0.72285,0.86896,0.96463,0.000693125,0.000693125,0.000693125
47,306.391,0.61722,0.73288,0.96811,0.79812,0.84194,0.83491,0.68559,0.72836,0.83605,0.94964,0.00068075,0.00068075,0.00068075
48,312.407,0.61704,0.75552,0.97918,0.79084,0.77482,0.79657,0.64251,0.80774,0.93842,0.96025,0.000668375,0.000668375,0.000668375
49,318.335,0.62645,0.72861,0.97218,0.8216,0.82482,0.83277,0.69386,0.76796,0.90547,0.96273,0.000656,0.000656,0.000656
50,324.436,0.62868,0.73044,0.977,0.84745,0.7872,0.85065,0.70931,0.7091,0.85025,0.94123,0.000643625,0.000643625,0.000643625
51,330.598,0.61489,0.74855,0.97226,0.77753,0.80535,0.83848,0.69379,0.7142,0.88796,0.92997,0.00063125,0.00063125,0.00063125
52,336.564,0.60359,0.70752,0.95706,0.82357,0.84509,0.83218,0.69788,0.71147,0.79497,0.94765,0.000618875,0.000618875,0.000618875
53,342.454,0.59428,0.69927,0.97054,0.86381,0.82098,0.8598,0.7203,0.68373,0.84575,0.93289,0.0006065,0.0006065,0.0006065
54,348.359,0.59401,0.70692,0.96173,0.84382,0.83249,0.86163,0.72046,0.71866,0.85662,0.92136,0.000594125,0.000594125,0.000594125
55,354.219,0.58329,0.69358,0.95731,0.84735,0.81184,0.83636,0.68641,0.74844,0.87379,0.9271,0.00058175,0.00058175,0.00058175
56,360.125,0.61604,0.68935,0.96195,0.82515,0.79259,0.83227,0.69313,0.70851,0.88529,0.91568,0.000569375,0.000569375,0.000569375
57,365.985,0.57814,0.67628,0.94657,0.82394,0.81118,0.82618,0.68945,0.70985,0.90541,0.92685,0.000557,0.000557,0.000557
