epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.07896,1.2972,2.97956,1.40474,0.05637,0.36868,0.18862,0.14669,1.29965,3.50394,1.23079,0.000325,0.000325,0.000325
2,13.2047,1.17594,1.72262,1.2867,0.97919,0.25,0.37003,0.23784,1.26766,2.66304,1.50357,0.000655941,0.000655941,0.000655941
3,18.9804,1.06771,1.4469,1.21132,0.92646,0.20946,0.55653,0.36644,1.18771,2.3758,1.28932,0.0009802,0.0009802,0.0009802
4,24.7155,1.06753,1.3626,1.1957,0.5943,0.65162,0.68067,0.43531,1.27672,1.64777,1.40806,0.00121287,0.00121287,0.00121287
5,30.3813,1.06597,1.3408,1.20106,0.63235,0.73074,0.72286,0.43031,1.23992,1.41256,1.34564,0.0012005,0.0012005,0.0012005
6,36.0566,1.00773,1.24108,1.16127,0.72152,0.71022,0.74993,0.53885,1.04189,1.16496,1.15528,0.00118812,0.00118812,0.00118812
7,41.7627,0.97488,1.15739,1.12703,0.77392,0.76419,0.7881,0.54129,1.07172,0.99835,1.15418,0.00117575,0.00117575,0.00117575
8,47.4873,1.01106,1.19567,1.16526,0.78149,0.65341,0.77676,0.54866,0.96071,1.24766,1.11808,0.00116337,0.00116337,0.00116337
9,53.2377,0.95085,1.1323,1.14892,0.82617,0.82993,0.82122,0.57842,0.97336,0.87719,1.14933,0.001151,0.001151,0.001151
10,58.9606,0.99051,1.21609,1.18436,0.81029,0.77795,0.81323,0.59978,0.92511,0.91563,1.12503,0.00113863,0.00113863,0.00113863
11,64.6723,0.93325,1.08527,1.13567,0.76162,0.7536,0.80122,0.57204,0.9597,0.90899,1.05702,0.00112625,0.00112625,0.00112625
12,70.3361,0.86298,1.56397,1.07622,0.71191,0.75264,0.76112,0.5504,0.9443,1.02297,1.10385,0.00111388,0.00111388,0.00111388
13,76.0592,0.89805,1.07418,1.1122,0.76302,0.75629,0.80279,0.57878,0.93535,0.8668,1.09647,0.0011015,0.0011015,0.0011015
14,81.7785,0.89471,1.00226,1.09783,0.73934,0.77228,0.83119,0.59735,0.8515,0.88339,1.05849,0.00108913,0.00108913,0.00108913
15,87.5799,0.92381,1.12978,1.15535,0.7329,0.85284,0.81283,0.59796,0.8361,0.88124,1.04181,0.00107675,0.00107675,0.00107675
16,93.3421,0.87889,1.03377,1.09739,0.83993,0.75049,0.80267,0.61866,0.85258,0.91217,1.05438,0.00106437,0.00106437,0.00106437
17,99.0995,0.84543,0.93555,1.07909,0.84212,0.74111,0.81617,0.6047,0.83905,0.81992,1.06578,0.001052,0.001052,0.001052
18,104.771,0.86845,0.98041,1.09736,0.82322,0.77731,0.8356,0.61304,0.88533,0.82259,1.06159,0.00103962,0.00103962,0.00103962
19,110.473,0.9005,0.98981,1.09114,0.84242,0.7698,0.84804,0.5979,1.00085,0.78778,1.10322,0.00102725,0.00102725,0.00102725
20,116.176,0.86135,0.96374,1.07723,0.76004,0.81905,0.80597,0.62335,0.79627,0.79499,1.02276,0.00101488,0.00101488,0.00101488
21,121.834,0.84264,0.97271,1.08333,0.8408,0.7688,0.82548,0.62579,0.80517,0.87669,1.01096,0.0010025,0.0010025,0.0010025
22,127.551,0.81397,0.90688,1.05931,0.83582,0.8348,0.86317,0.66223,0.78734,0.72082,1.03172,0.000990125,0.000990125,0.000990125
23,133.253,0.82497,0.93523,1.05984,0.78633,0.78379,0.79816,0.60475,0.79406,0.88398,1.02655,0.00097775,0.00097775,0.00097775
24,138.918,0.82325,0.99651,1.09731,0.73865,0.66089,0.76657,0.55028,0.93676,1.24029,1.06278,0.000965375,0.000965375,0.000965375
25,144.675,0.80848,0.92694,1.0626,0.76088,0.79455,0.80116,0.59383,0.86764,1.01265,1.04643,0.000953,0.000953,0.000953
26,150.473,0.80398,0.87228,1.04124,0.83929,0.78376,0.81746,0.59308,0.92655,0.80657,1.02798,0.000940625,0.000940625,0.000940625
27,156.15,0.79526,0.84598,1.03043,0.85645,0.86286,0.86651,0.65752,0.8068,0.75509,1.01382,0.00092825,0.00092825,0.00092825
28,161.823,0.7809,0.86906,1.04913,0.85074,0.78064,0.84616,0.64653,0.81205,0.73916,1.0041,0.000915875,0.000915875,0.000915875
29,167.538,0.78992,0.85963,1.02594,0.79833,0.8297,0.83424,0.65482,0.74964,0.73636,0.97504,0.0009035,0.0009035,0.0009035
30,173.354,0.76285,0.82281,1.01584,0.84123,0.86164,0.86374,0.67082,0.72498,0.6793,0.96651,0.000891125,0.000891125,0.000891125
31,179.067,0.75302,0.88349,1.04166,0.84232,0.85441,0.87941,0.68873,0.72874,0.6457,0.96489,0.00087875,0.00087875,0.00087875
32,184.757,0.73912,0.78055,1.0056,0.79888,0.8501,0.85888,0.67539,0.73639,0.68349,0.95297,0.000866375,0.000866375,0.000866375
33,190.387,0.72964,0.73868,1.00558,0.84512,0.85138,0.86124,0.69051,0.69283,0.63172,0.92733,0.000854,0.000854,0.000854
34,196.04,0.73182,0.81172,1.01711,0.77175,0.8712,0.85419,0.68973,0.66708,0.67363,0.93758,0.000841625,0.000841625,0.000841625
35,201.75,0.74167,0.78766,1.02404,0.83397,0.83408,0.85397,0.66575,0.74212,0.63191,0.96982,0.00082925,0.00082925,0.00082925
36,207.423,0.71045,0.78678,1.00516,0.79594,0.77948,0.8311,0.65243,0.74305,0.72787,0.94156,0.000816875,0.000816875,0.000816875
37,213.085,0.71219,0.77734,1.00508,0.84649,0.83672,0.86748,0.69108,0.70676,0.64567,0.93964,0.0008045,0.0008045,0.0008045
38,218.815,0.71885,0.80569,1.01287,0.83754,0.87169,0.86514,0.6912,0.68287,0.65265,0.92981,0.000792125,0.000792125,0.000792125
39,224.502,0.70626,0.79677,1.00333,0.86099,0.85062,0.89633,0.69749,0.74273,0.63244,0.94637,0.00077975,0.00077975,0.00077975
40,230.245,0.68714,0.77289,0.99062,0.85459,0.84543,0.88443,0.69928,0.71046,0.6242,0.93072,0.000767375,0.000767375,0.000767375
41,235.942,0.6918,0.75333,0.98591,0.89512,0.8557,0.90166,0.71717,0.69532,0.59506,0.92831,0.000755,0.000755,0.000755
42,241.736,0.67164,0.73514,0.97384,0.84237,0.88209,0.87709,0.70648,0.67354,0.60637,0.92199,0.000742625,0.000742625,0.000742625
43,247.349,0.67429,0.7745,0.99869,0.77043,0.84645,0.84213,0.68773,0.67706,0.64683,0.92438,0.00073025,0.00073025,0.00073025
44,252.99,0.71083,0.83368,0.97485,0.81465,0.79634,0.78616,0.62223,0.72709,0.77527,0.94397,0.000717875,0.000717875,0.000717875
45,258.673,0.70124,0.79623,0.99442,0.8162,0.85655,0.87146,0.68744,0.73908,0.69379,0.9524,0.0007055,0.0007055,0.0007055
46,264.373,0.69501,0.74917,0.99781,0.81908,0.88467,0.87248,0.69643,0.69073,0.5951,0.92775,0.000693125,0.000693125,0.000693125
47,270.095,0.68478,0.76275,0.99713,0.85135,0.85993,0.88414,0.70612,0.65629,0.58861,0.9197,0.00068075,0.00068075,0.00068075
48,275.774,0.6717,0.68994,0.96984,0.84038,0.85905,0.86018,0.69156,0.65901,0.58289,0.91104,0.000668375,0.000668375,0.000668375
49,281.427,0.65105,0.6679,0.98705,0.8516,0.82671,0.86341,0.6997,0.63496,0.61044,0.90378,0.000656,0.000656,0.000656
50,287.123,0.65483,0.73506,0.97554,0.7932,0.83279,0.87436,0.71232,0.68575,0.61492,0.90964,0.000643625,0.000643625,0.000643625
51,292.874,0.63931,0.65987,0.9707,0.81392,0.84812,0.87259,0.71287,0.71521,0.60577,0.92318,0.00063125,0.00063125,0.00063125
52,298.588,0.6512,0.71414,0.97988,0.84938,0.82404,0.87892,0.71484,0.69591,0.65216,0.91894,0.000618875,0.000618875,0.000618875
53,304.25,0.64661,0.67773,0.95965,0.83225,0.84968,0.88534,0.72524,0.64419,0.59858,0.90827,0.0006065,0.0006065,0.0006065
54,309.987,0.63458,0.66568,0.96813,0.83815,0.86604,0.87891,0.71086,0.64979,0.58767,0.91064,0.000594125,0.000594125,0.000594125
55,315.683,0.64052,0.65796,0.96186,0.84842,0.87781,0.87898,0.71657,0.62454,0.56381,0.90047,0.00058175,0.00058175,0.00058175
