Yellow Robot	Blue Robot	Ball
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(0, 0)	(0, 0)
(0, 0)	(1450.6064453125, 452.5555725097656)	(0, 0)
(0, 0)	(-2946.407958984375, -416.2801208496094)	(0, 0)
(0, 0)	(-2884.977294921875, -426.1411437988281)	(0, 0)
(0, 0)	(-2828.676025390625, -434.2331237792969)	(0, 0)
(0, 0)	(-2778.1689453125, -438.4471435546875)	(0, 0)
(0, 0)	(-2758.759033203125, -418.8226013183594)	(0, 0)
(0, 0)	(-2747.015869140625, -405.0138244628906)	(0, 0)
(0, 0)	(-2738.1298828125, -397.1116943359375)	(0, 0)
(0, 0)	(-2701.912109375, -391.9915466308594)	(0, 0)
(0, 0)	(-2713.37646484375, -395.93048095703125)	(0, 0)
(0, 0)	(-2706.189208984375, -402.858154296875)	(0, 0)
(0, 0)	(-2436.2958984375, -389.5018005371094)	(0, 0)
(0, 0)	(-2308.14501953125, -384.0901184082031)	(0, 0)
(0, 0)	(-2226.6103515625, -384.3620300292969)	(0, 0)
(0, 0)	(-2184.602783203125, -382.0498962402344)	(0, 0)
(0, 0)	(-2145.470458984375, -384.64215087890625)	(0, 0)
(0, 0)	(-2155.282470703125, -388.9098815917969)	(0, 0)
(0, 0)	(-2150.57763671875, -391.1854553222656)	(0, 0)
(0, 0)	(-2140.985107421875, -388.33056640625)	(0, 0)
(0, 0)	(-2097.7392578125, -386.0101013183594)	(0, 0)
(0, 0)	(-2065.289306640625, -384.7063903808594)	(0, 0)
(0, 0)	(-2105.052978515625, -392.4432373046875)	(0, 0)
(0, 0)	(-2086.6962890625, -389.9466857910156)	(0, 0)
(0, 0)	(-2239.955078125, -393.1379089355469)	(0, 0)
(0, 0)	(-2103.970458984375, -378.41522216796875)	(0, 0)
(0, 0)	(-2046.877197265625, -370.93719482421875)	(0, 0)
(0, 0)	(-2021.174560546875, -366.5660400390625)	(0, 0)
(0, 0)	(-2012.521240234375, -365.7704772949219)	(0, 0)
(0, 0)	(957.49169921875, 1275.5870361328125)	(0, 0)
(0, 0)	(952.1567993164062, 1273.6365966796875)	(0, 0)
(0, 0)	(949.0650634765625, 1270.93359375)	(0, 0)
(0, 0)	(945.9961547851562, 1268.6441650390625)	(0, 0)
(0, 0)	(1123.5665283203125, 377.0390625)	(0, 0)
(0, 0)	(1120.7271728515625, 375.97930908203125)	(0, 0)
(0, 0)	(1120.4169921875, 370.6311950683594)	(0, 0)
(0, 0)	(1115.951416015625, 367.5748291015625)	(0, 0)
(0, 0)	(1122.7506103515625, 365.9687805175781)	(0, 0)
(0, 0)	(1115.648193359375, 363.1176452636719)	(0, 0)
(0, 0)	(1121.02978515625, 362.91021728515625)	(0, 0)
(0, 0)	(1121.755859375, 364.1126708984375)	(0, 0)
(0, 0)	(1123.89453125, 364.3275146484375)	(0, 0)
(0, 0)	(1124.9571533203125, 366.1387023925781)	(0, 0)
(0, 0)	(1126.737060546875, 368.9031066894531)	(0, 0)
(0, 0)	(1124.7861328125, 368.88726806640625)	(0, 0)
(0, 0)	(1124.0009765625, 371.1485595703125)	(0, 0)
(0, 0)	(1097.9835205078125, 372.02752685546875)	(0, 0)
(0, 0)	(1095.63427734375, 377.0535583496094)	(0, 0)
(0, 0)	(1087.131103515625, 380.1085510253906)	(0, 0)
(0, 0)	(1086.6856689453125, 383.77410888671875)	(0, 0)
(0, 0)	(1082.887939453125, 384.2713317871094)	(0, 0)
(0, 0)	(1086.5419921875, 385.8600769042969)	(0, 0)
(0, 0)	(1093.0791015625, 386.9392395019531)	(0, 0)
(0, 0)	(1090.209716796875, 388.12847900390625)	(0, 0)
(0, 0)	(1087.9132080078125, 387.7006530761719)	(0, 0)
(0, 0)	(1090.8419189453125, 387.6750793457031)	(0, 0)
(0, 0)	(1090.80419921875, 387.6432800292969)	(0, 0)
(0, 0)	(1095.89599609375, 387.9044189453125)	(0, 0)
(0, 0)	(1113.8114013671875, 390.04949951171875)	(0, 0)
(0, 0)	(1118.088134765625, 387.8195495605469)	(0, 0)
(0, 0)	(1118.3187255859375, 387.4712829589844)	(0, 0)
(0, 0)	(1120.2930908203125, 388.09649658203125)	(0, 0)
(0, 0)	(1121.5616455078125, 389.06591796875)	(0, 0)
(0, 0)	(1123.06787109375, 385.0018005371094)	(0, 0)
(0, 0)	(1125.2427978515625, 383.622802734375)	(0, 0)
(0, 0)	(1126.1673583984375, 386.743896484375)	(0, 0)
(0, 0)	(1124.185791015625, 386.629150390625)	(0, 0)
(0, 0)	(1121.7999267578125, 385.4921875)	(0, 0)
(0, 0)	(1120.398681640625, 387.1448974609375)	(0, 0)
(0, 0)	(1121.5155029296875, 388.4465026855469)	(0, 0)
(0, 0)	(1123.313232421875, 388.68658447265625)	(0, 0)
(0, 0)	(1126.8291015625, 388.0233459472656)	(0, 0)
(0, 0)	(1126.720458984375, 389.87384033203125)	(0, 0)
(0, 0)	(1126.535400390625, 389.5087585449219)	(0, 0)
(0, 0)	(1123.6273193359375, 388.6395568847656)	(0, 0)
(0, 0)	(1126.124267578125, 388.4278564453125)	(0, 0)
(0, 0)	(1127.769775390625, 388.15850830078125)	(0, 0)
(0, 0)	(1128.0643310546875, 385.6896667480469)	(0, 0)
(0, 0)	(1127.9794921875, 385.714111328125)	(0, 0)
(0, 0)	(1130.3216552734375, 383.8200378417969)	(0, 0)
(0, 0)	(1128.445556640625, 382.8845520019531)	(0, 0)
(0, 0)	(1127.859375, 382.72576904296875)	(0, 0)
(0, 0)	(1120.2833251953125, 378.13616943359375)	(0, 0)
(0, 0)	(1119.873779296875, 377.33380126953125)	(0, 0)
(0, 0)	(1122.143798828125, 377.7302551269531)	(0, 0)
(0, 0)	(1123.7476806640625, 377.97601318359375)	(0, 0)
(0, 0)	(1124.0828857421875, 379.6107482910156)	(0, 0)
(0, 0)	(1124.5716552734375, 378.95867919921875)	(0, 0)
(0, 0)	(1124.6925048828125, 379.0562438964844)	(0, 0)
(0, 0)	(1125.662353515625, 378.7191162109375)	(0, 0)
(0, 0)	(1125.986572265625, 378.0926818847656)	(0, 0)
(0, 0)	(1129.2779541015625, 377.2486267089844)	(0, 0)
(0, 0)	(1131.5374755859375, 378.0599365234375)	(0, 0)
(0, 0)	(1132.3538818359375, 379.006591796875)	(0, 0)
(0, 0)	(1126.6785888671875, 383.77001953125)	(0, 0)
(0, 0)	(1124.2841796875, 385.7437744140625)	(0, 0)
(0, 0)	(1123.43896484375, 387.34130859375)	(0, 0)
(0, 0)	(1123.9588623046875, 388.86871337890625)	(0, 0)
(0, 0)	(1123.8538818359375, 389.7130126953125)	(0, 0)
(0, 0)	(1120.2584228515625, 387.97174072265625)	(0, 0)
(0, 0)	(1119.007568359375, 386.32122802734375)	(0, 0)
(0, 0)	(1121.7430419921875, 387.55096435546875)	(0, 0)
(0, 0)	(1121.660888671875, 387.5284729003906)	(0, 0)
(0, 0)	(1121.064697265625, 390.52508544921875)	(0, 0)
(0, 0)	(1120.844970703125, 388.2823181152344)	(0, 0)
(0, 0)	(1123.695556640625, 387.7868957519531)	(0, 0)
(0, 0)	(1120.166259765625, 385.9175720214844)	(0, 0)
(0, 0)	(1115.880615234375, 383.26153564453125)	(0, 0)
(0, 0)	(1109.920166015625, 379.92034912109375)	(0, 0)
(0, 0)	(1109.4154052734375, 377.9791259765625)	(0, 0)
(0, 0)	(1111.507568359375, 377.43865966796875)	(0, 0)
(0, 0)	(1113.580078125, 375.7027893066406)	(0, 0)
(0, 0)	(1117.74755859375, 374.8385314941406)	(0, 0)
(0, 0)	(1117.81201171875, 374.54595947265625)	(0, 0)
(0, 0)	(1115.9927978515625, 374.6565856933594)	(0, 0)
(0, 0)	(1114.2349853515625, 374.5407409667969)	(0, 0)
(0, 0)	(1111.4072265625, 374.57379150390625)	(0, 0)
