epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9161,1.06908,2.42532,1.25535,0.98815,0.24074,0.27122,0.23042,0.97631,2.82723,1.12126,0.000406977,0.000406977,0.000406977
2,27.5414,0.96654,1.34868,1.15503,0.92834,0.35193,0.67111,0.48808,0.99172,1.9522,1.14127,0.000815489,0.000815489,0.000815489
3,51.4093,0.92909,1.23125,1.14407,0.79788,0.73539,0.80322,0.58679,0.92791,1.46044,1.10638,0.00121575,0.00121575,0.00121575
4,74.0947,0.89877,1.13483,1.10962,0.69705,0.77014,0.72208,0.54489,0.85402,1.13887,1.06025,0.00121287,0.00121287,0.00121287
5,97.428,0.8716,1.08627,1.09546,0.8702,0.73761,0.81647,0.59877,0.95993,1.00834,1.07612,0.0012005,0.0012005,0.0012005
6,119.04,0.82981,1.04755,1.08595,0.85435,0.72624,0.80951,0.60999,0.98462,1.07628,1.07918,0.00118812,0.00118812,0.00118812
7,141.286,0.81788,0.97338,1.06727,0.78775,0.76117,0.81858,0.63329,0.92196,1.09207,1.06984,0.00117575,0.00117575,0.00117575
8,163.647,0.78059,0.96106,1.0585,0.77351,0.70644,0.75998,0.53964,0.9473,1.16881,1.18002,0.00116337,0.00116337,0.00116337
9,182.597,0.78923,0.95462,1.05616,0.73821,0.7357,0.80404,0.64437,0.78577,1.01261,1.02176,0.001151,0.001151,0.001151
10,199.947,0.7695,0.93203,1.05372,0.79907,0.82502,0.82888,0.66976,0.76193,0.98995,1.01632,0.00113863,0.00113863,0.00113863
11,222.357,0.75368,0.91406,1.03712,0.78894,0.79985,0.84209,0.64453,0.90932,0.89407,1.01936,0.00112625,0.00112625,0.00112625
12,240.352,0.75769,0.89196,1.02922,0.82708,0.80496,0.84997,0.68174,0.80651,0.79252,0.98544,0.00111388,0.00111388,0.00111388
13,264.698,0.72932,0.89556,1.02618,0.83282,0.77382,0.80889,0.66962,0.69112,0.84653,0.96044,0.0011015,0.0011015,0.0011015
14,288.827,0.72005,0.89157,1.02579,0.77695,0.82148,0.82726,0.68608,0.72615,0.85558,0.97676,0.00108913,0.00108913,0.00108913
15,319.774,0.69848,0.82694,1.01491,0.85949,0.78509,0.83426,0.66642,0.7804,0.8768,0.99069,0.00107675,0.00107675,0.00107675
16,346.347,0.69371,0.83323,1.00585,0.80875,0.84778,0.85681,0.66454,0.84494,0.83336,0.97703,0.00106437,0.00106437,0.00106437
17,374.871,0.68404,0.82532,1.00446,0.84472,0.81989,0.85221,0.70731,0.72863,0.80982,0.98139,0.001052,0.001052,0.001052
18,403.182,0.69078,0.84067,1.01426,0.84807,0.77864,0.85935,0.69928,0.76448,0.90441,0.96566,0.00103962,0.00103962,0.00103962
19,431.698,0.67903,0.80499,0.99744,0.8311,0.80857,0.84526,0.69627,0.73364,0.78878,0.95031,0.00102725,0.00102725,0.00102725
20,447.272,0.66489,0.78722,0.99265,0.84353,0.84443,0.85499,0.7093,0.68383,0.79171,0.93336,0.00101488,0.00101488,0.00101488
21,457.35,0.65278,0.76063,0.98129,0.83642,0.79625,0.83983,0.70754,0.66331,0.77268,0.92236,0.0010025,0.0010025,0.0010025
22,467.614,0.64142,0.70913,0.964,0.84237,0.80633,0.85238,0.69912,0.71726,0.80112,0.93898,0.000990125,0.000990125,0.000990125
23,477.766,0.64725,0.73237,0.98275,0.85173,0.83256,0.88262,0.72629,0.6607,0.71677,0.91548,0.00097775,0.00097775,0.00097775
24,488.072,0.63436,0.72168,0.97087,0.76639,0.81362,0.84663,0.69534,0.71378,0.86349,0.96012,0.000965375,0.000965375,0.000965375
25,498.282,0.63992,0.72557,0.97573,0.8753,0.8047,0.86484,0.70038,0.75358,0.83672,0.95755,0.000953,0.000953,0.000953
26,508.373,0.63217,0.69972,0.96864,0.85629,0.81831,0.86998,0.73581,0.63505,0.71735,0.92222,0.000940625,0.000940625,0.000940625
27,518.584,0.6446,0.72389,0.98009,0.82526,0.81522,0.85216,0.70902,0.66864,0.79269,0.92682,0.00092825,0.00092825,0.00092825
28,528.632,0.62967,0.70024,0.97351,0.84459,0.81864,0.84001,0.71677,0.64339,0.70261,0.91014,0.000915875,0.000915875,0.000915875
29,538.842,0.62488,0.67974,0.97027,0.85832,0.85461,0.84841,0.71967,0.64999,0.71152,0.91693,0.0009035,0.0009035,0.0009035
30,549.014,0.62031,0.69739,0.96947,0.85152,0.80045,0.83309,0.70334,0.63756,0.78198,0.91307,0.000891125,0.000891125,0.000891125
31,559.141,0.63397,0.71299,0.97445,0.85831,0.83713,0.86273,0.71398,0.71487,0.72573,0.93007,0.00087875,0.00087875,0.00087875
32,569.348,0.62688,0.68861,0.96216,0.87581,0.83565,0.87134,0.74328,0.62909,0.66257,0.89896,0.000866375,0.000866375,0.000866375
33,579.577,0.6044,0.66488,0.9531,0.89448,0.83308,0.85998,0.71918,0.65177,0.72529,0.90194,0.000854,0.000854,0.000854
34,589.961,0.60277,0.65834,0.95254,0.86407,0.8431,0.8479,0.72077,0.64642,0.75742,0.89752,0.000841625,0.000841625,0.000841625
35,600.049,0.60472,0.65524,0.95762,0.89116,0.81291,0.85332,0.7291,0.61213,0.73802,0.90356,0.00082925,0.00082925,0.00082925
36,610.221,0.59525,0.67272,0.96491,0.8037,0.8363,0.78846,0.6647,0.61844,0.80975,0.90334,0.000816875,0.000816875,0.000816875
37,620.388,0.60267,0.6276,0.95005,0.87798,0.82996,0.86158,0.72488,0.65135,0.72638,0.89953,0.0008045,0.0008045,0.0008045
38,630.583,0.58696,0.65461,0.9468,0.8442,0.844,0.85319,0.7349,0.60041,0.70538,0.89802,0.000792125,0.000792125,0.000792125
39,640.842,0.5817,0.65351,0.95271,0.82587,0.82063,0.83611,0.70908,0.62906,0.75258,0.91407,0.00077975,0.00077975,0.00077975
40,650.992,0.55888,0.61129,0.94208,0.87251,0.83197,0.87016,0.73421,0.62609,0.65874,0.87805,0.000767375,0.000767375,0.000767375
41,661.115,0.57944,0.63442,0.94897,0.86968,0.84372,0.86587,0.74174,0.5893,0.67377,0.88689,0.000755,0.000755,0.000755
42,671.26,0.58503,0.6221,0.94056,0.88668,0.80617,0.85685,0.72901,0.58914,0.67727,0.88301,0.000742625,0.000742625,0.000742625
43,681.432,0.56232,0.63272,0.93851,0.79428,0.78498,0.79815,0.68523,0.57812,0.81532,0.87651,0.00073025,0.00073025,0.00073025
44,691.522,0.56711,0.60977,0.9407,0.85991,0.79702,0.82697,0.71332,0.60439,0.80839,0.88016,0.000717875,0.000717875,0.000717875
45,701.913,0.55877,0.60803,0.93934,0.90093,0.83921,0.8745,0.74539,0.60995,0.67118,0.89158,0.0007055,0.0007055,0.0007055
46,712.07,0.55506,0.59023,0.932,0.8749,0.83418,0.84391,0.72027,0.61619,0.69834,0.88596,0.000693125,0.000693125,0.000693125
47,722.456,0.56565,0.60724,0.93899,0.87041,0.84307,0.86301,0.7382,0.58329,0.65433,0.8774,0.00068075,0.00068075,0.00068075
48,732.745,0.54383,0.5972,0.9307,0.88101,0.81173,0.85876,0.73659,0.58099,0.74872,0.87354,0.000668375,0.000668375,0.000668375
49,742.879,0.55142,0.57621,0.93462,0.8295,0.79824,0.82087,0.69952,0.61337,0.78129,0.8897,0.000656,0.000656,0.000656
50,753.002,0.55103,0.57613,0.92735,0.85952,0.7867,0.84894,0.73122,0.58967,0.71423,0.87919,0.000643625,0.000643625,0.000643625
51,763.164,0.56037,0.59324,0.93253,0.8476,0.85399,0.84951,0.73461,0.56571,0.6708,0.87858,0.00063125,0.00063125,0.00063125
52,773.247,0.54818,0.56558,0.93032,0.84926,0.83003,0.8379,0.71614,0.6043,0.72304,0.88928,0.000618875,0.000618875,0.000618875
53,783.411,0.55038,0.56044,0.93451,0.867,0.84723,0.85194,0.73702,0.60409,0.67231,0.89391,0.0006065,0.0006065,0.0006065
54,793.523,0.52427,0.5447,0.92136,0.8593,0.85259,0.86771,0.75328,0.5627,0.64411,0.87495,0.000594125,0.000594125,0.000594125
55,803.742,0.54047,0.56319,0.92634,0.85467,0.86702,0.87535,0.7605,0.56201,0.65941,0.87218,0.00058175,0.00058175,0.00058175
