epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.53381,1.23232,2.78797,1.14692,0.07611,0.27778,0.24256,0.22594,1.02695,3.05214,0.96696,0.000225,0.000225,0.000225
2,9.93174,1.11279,1.35366,1.04877,1,0.24862,0.24956,0.22336,1.08639,2.0801,0.94303,0.000458684,0.000458684,0.000458684
3,14.3477,1.049,1.12138,1.01622,0.99867,0.25,0.46982,0.33526,1.1446,1.67493,1.00807,0.00068845,0.00068845,0.00068845
4,18.6713,1.00584,1.05726,1.00598,0.94084,0.25,0.84089,0.58976,0.94738,1.40422,0.97459,0.000914297,0.000914297,0.000914297
5,23.0254,1.00091,0.99198,1.00031,1,0.34562,0.86333,0.58568,1.25443,1.6035,1.14347,0.00113622,0.00113622,0.00113622
6,27.2507,0.96967,0.9676,0.98753,0.96814,0.64358,0.86521,0.55761,1.37001,1.51451,1.22153,0.00119844,0.00119844,0.00119844
7,31.4942,0.94171,0.93978,0.98917,0.90851,0.82742,0.87355,0.62534,0.97674,1.08743,1.01699,0.00118812,0.00118812,0.00118812
8,35.7791,0.90722,0.86948,0.96337,0.87586,0.83205,0.89332,0.66977,0.90929,0.9284,0.99631,0.00117781,0.00117781,0.00117781
9,40.0111,0.89217,0.86452,0.95907,0.88307,0.88554,0.90267,0.69803,0.88916,0.82761,0.96562,0.0011675,0.0011675,0.0011675
10,44.2505,0.90044,0.79088,0.95298,0.86451,0.83659,0.88278,0.67081,0.83373,0.9077,0.91265,0.00115719,0.00115719,0.00115719
11,48.4915,0.88054,0.8507,0.96433,0.89229,0.84441,0.88893,0.66194,0.8045,0.81747,0.92519,0.00114688,0.00114688,0.00114688
12,52.6752,0.81511,0.71315,0.93463,0.90819,0.88417,0.89906,0.70708,0.64128,0.61704,0.86133,0.00113656,0.00113656,0.00113656
13,56.8896,0.85314,0.75385,0.94664,0.88423,0.88037,0.90258,0.64662,0.93534,0.70851,1.0033,0.00112625,0.00112625,0.00112625
14,61.1144,0.82369,0.72037,0.92589,0.88904,0.90425,0.91172,0.66591,0.82185,0.6785,0.94706,0.00111594,0.00111594,0.00111594
15,65.3935,0.78944,0.70455,0.91739,0.89521,0.89248,0.89009,0.68478,0.77506,0.69421,0.94329,0.00110563,0.00110563,0.00110563
16,69.6177,0.77764,0.70121,0.92529,0.91522,0.88554,0.89742,0.71089,0.72132,0.72393,0.89614,0.00109531,0.00109531,0.00109531
17,73.8193,0.76946,0.65033,0.9038,0.91296,0.88386,0.88977,0.70681,0.69546,0.58717,0.87264,0.001085,0.001085,0.001085
18,78.0768,0.7963,0.69431,0.94687,0.9196,0.87611,0.89901,0.70155,0.75307,0.63937,0.91347,0.00107469,0.00107469,0.00107469
19,82.2718,0.80029,0.70572,0.94351,0.88409,0.89177,0.91895,0.67946,0.80661,0.70386,0.89625,0.00106437,0.00106437,0.00106437
20,86.5324,0.78169,0.65019,0.93639,0.93886,0.85733,0.89658,0.7147,0.67932,0.61897,0.86338,0.00105406,0.00105406,0.00105406
21,90.7464,0.75901,0.61142,0.92718,0.90043,0.89682,0.92808,0.74452,0.63888,0.53568,0.85993,0.00104375,0.00104375,0.00104375
22,95.106,0.74577,0.5858,0.90625,0.88777,0.89991,0.92714,0.74126,0.70705,0.5792,0.89353,0.00103344,0.00103344,0.00103344
23,99.379,0.73754,0.57062,0.90541,0.91886,0.87679,0.9223,0.72895,0.70329,0.56366,0.88779,0.00102312,0.00102312,0.00102312
24,103.645,0.74326,0.59537,0.91285,0.91304,0.88311,0.90248,0.70157,0.71456,0.49963,0.89388,0.00101281,0.00101281,0.00101281
25,107.873,0.74172,0.57876,0.92017,0.90952,0.89203,0.9066,0.74036,0.63078,0.54627,0.86193,0.0010025,0.0010025,0.0010025
26,112.104,0.72035,0.57455,0.90881,0.91387,0.90657,0.91869,0.7296,0.67524,0.55893,0.88093,0.000992188,0.000992188,0.000992188
27,116.34,0.73775,0.57377,0.9181,0.9212,0.88155,0.90854,0.74071,0.67514,0.50759,0.86202,0.000981875,0.000981875,0.000981875
28,120.565,0.74461,0.55892,0.91272,0.93389,0.84914,0.90963,0.7307,0.65225,0.59202,0.8738,0.000971562,0.000971562,0.000971562
29,124.81,0.73439,0.56238,0.91189,0.90736,0.91033,0.93503,0.7367,0.71294,0.51577,0.88401,0.00096125,0.00096125,0.00096125
30,129.037,0.73373,0.54769,0.90232,0.94876,0.87903,0.92629,0.73358,0.66176,0.53952,0.87625,0.000950937,0.000950937,0.000950937
31,133.274,0.71948,0.55583,0.9167,0.90293,0.90048,0.93338,0.75739,0.63678,0.48969,0.86659,0.000940625,0.000940625,0.000940625
32,137.524,0.718,0.53561,0.90509,0.89094,0.90218,0.92817,0.76304,0.6695,0.50788,0.89744,0.000930313,0.000930313,0.000930313
33,141.776,0.70988,0.53623,0.90543,0.89995,0.89943,0.92083,0.71129,0.66734,0.52782,0.86048,0.00092,0.00092,0.00092
34,145.998,0.72036,0.56877,0.90769,0.91659,0.89781,0.92815,0.76282,0.60441,0.48165,0.86187,0.000909688,0.000909688,0.000909688
35,150.306,0.70852,0.52496,0.8996,0.91179,0.90604,0.91404,0.75588,0.62792,0.50029,0.87555,0.000899375,0.000899375,0.000899375
36,154.614,0.67267,0.49319,0.89561,0.91479,0.89943,0.90992,0.69599,0.77128,0.51122,0.90017,0.000889062,0.000889062,0.000889062
37,158.882,0.69571,0.50432,0.89861,0.91855,0.89248,0.92237,0.74642,0.59467,0.4897,0.857,0.00087875,0.00087875,0.00087875
38,163.203,0.68976,0.50522,0.8854,0.92453,0.87859,0.93551,0.74834,0.65003,0.50051,0.86497,0.000868437,0.000868437,0.000868437
39,167.462,0.70211,0.4893,0.88705,0.93427,0.87859,0.90985,0.72685,0.64662,0.56989,0.87173,0.000858125,0.000858125,0.000858125
40,171.666,0.67514,0.49242,0.89014,0.90933,0.88193,0.93637,0.7734,0.62382,0.50501,0.8725,0.000847813,0.000847813,0.000847813
41,175.865,0.65298,0.45949,0.87229,0.934,0.88756,0.92818,0.74824,0.62689,0.51781,0.86055,0.0008375,0.0008375,0.0008375
42,180.064,0.66967,0.45236,0.88001,0.90703,0.89657,0.91511,0.74213,0.64073,0.51263,0.86847,0.000827187,0.000827187,0.000827187
43,184.286,0.65821,0.46326,0.87741,0.92619,0.88253,0.91274,0.74002,0.641,0.51414,0.86672,0.000816875,0.000816875,0.000816875
44,188.508,0.6833,0.49205,0.88631,0.89255,0.90637,0.90649,0.74149,0.66149,0.52096,0.87202,0.000806562,0.000806562,0.000806562
45,192.67,0.67607,0.48843,0.90011,0.91419,0.88889,0.92017,0.72407,0.69743,0.48473,0.87901,0.00079625,0.00079625,0.00079625
46,196.843,0.67258,0.47541,0.89307,0.91683,0.89739,0.93045,0.74527,0.63758,0.44718,0.85142,0.000785938,0.000785938,0.000785938
47,201.077,0.68727,0.48149,0.90355,0.91065,0.90212,0.90757,0.75239,0.63359,0.56066,0.86085,0.000775625,0.000775625,0.000775625
48,205.296,0.6724,0.46897,0.88967,0.93426,0.87035,0.91513,0.78645,0.59754,0.53395,0.85693,0.000765313,0.000765313,0.000765313
