epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.52135,1.18378,2.71421,1.28767,0.10909,0.39288,0.18468,0.16162,1.24492,3.39391,1.27161,0.0003875,0.0003875,0.0003875
2,14.082,1.10161,1.61228,1.20314,0.96751,0.23916,0.49063,0.35183,1.31948,2.59215,1.53497,0.000779704,0.000779704,0.000779704
3,20.4405,1.0827,1.47231,1.20443,0.45868,0.45461,0.49722,0.34532,1.18664,2.0217,1.37844,0.00116399,0.00116399,0.00116399
4,26.7395,1.04037,1.35932,1.18037,0.61655,0.5971,0.65214,0.42985,1.05645,1.50452,1.29485,0.00121287,0.00121287,0.00121287
5,33.0581,1.01173,1.27304,1.1581,0.76965,0.71863,0.75056,0.56036,0.9657,1.21882,1.21778,0.0012005,0.0012005,0.0012005
6,39.2957,0.96353,1.21041,1.12145,0.70884,0.76153,0.75447,0.5205,1.1996,1.3417,1.41464,0.00118812,0.00118812,0.00118812
7,45.5292,0.95905,1.22903,1.15875,0.60436,0.7841,0.69624,0.52337,0.95949,1.38116,1.22833,0.00117575,0.00117575,0.00117575
8,51.8223,0.93516,1.12657,1.11751,0.83655,0.76171,0.78902,0.58936,0.99236,1.20242,1.2265,0.00116337,0.00116337,0.00116337
9,58.1913,0.91135,1.09469,1.1143,0.76093,0.82447,0.80852,0.57944,1.04132,1.06741,1.24636,0.001151,0.001151,0.001151
10,64.4971,0.90039,1.0366,1.09868,0.71644,0.76219,0.76293,0.56441,0.98485,1.05606,1.17614,0.00113863,0.00113863,0.00113863
11,70.8377,0.88345,1.04849,1.08713,0.6954,0.81368,0.74942,0.54484,1.09687,1.34521,1.26632,0.00112625,0.00112625,0.00112625
12,77.1577,0.85215,1.03615,1.08135,0.71556,0.70574,0.60615,0.46771,1.01533,1.37302,1.19148,0.00111388,0.00111388,0.00111388
13,83.4749,0.85057,1.00358,1.06798,0.77062,0.76327,0.78089,0.56063,0.95841,1.12934,1.13401,0.0011015,0.0011015,0.0011015
14,89.8067,0.8335,1.00183,1.07097,0.72397,0.72516,0.7552,0.56232,0.95433,1.23121,1.17635,0.00108913,0.00108913,0.00108913
15,96.1313,0.83275,0.98025,1.05927,0.78076,0.82797,0.81233,0.58134,0.95149,1.15184,1.15398,0.00107675,0.00107675,0.00107675
16,102.42,0.83523,0.97087,1.05594,0.751,0.76852,0.7577,0.58201,0.86701,1.12069,1.11115,0.00106437,0.00106437,0.00106437
17,108.691,0.79536,0.99362,1.05111,0.7767,0.68807,0.70421,0.51286,0.93996,1.39144,1.1638,0.001052,0.001052,0.001052
18,115.02,0.78933,0.92909,1.02403,0.84469,0.69393,0.75497,0.58911,0.83908,1.10021,1.0662,0.00103962,0.00103962,0.00103962
19,121.296,0.7766,0.96401,1.03797,0.74066,0.77669,0.76927,0.58215,0.8768,1.10929,1.09448,0.00102725,0.00102725,0.00102725
20,127.584,0.78478,0.90939,1.01346,0.7873,0.751,0.76633,0.60251,0.79419,1.05821,1.07159,0.00101488,0.00101488,0.00101488
21,133.843,0.74443,0.86584,1.00195,0.78903,0.78786,0.76256,0.59501,0.79899,1.06536,1.04133,0.0010025,0.0010025,0.0010025
22,140.098,0.75165,0.88236,1.00787,0.81762,0.80735,0.78907,0.62073,0.76565,0.9937,1.03051,0.000990125,0.000990125,0.000990125
23,146.457,0.73577,0.85473,0.99074,0.82035,0.81105,0.78611,0.62567,0.73525,0.93627,1.01121,0.00097775,0.00097775,0.00097775
