epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1769,1.09668,2.03339,1.04883,1,0.23803,0.24974,0.21815,0.96531,2.26112,0.9216,0.000406504,0.000406504,0.000406504
2,21.0993,1.02659,1.0623,0.97932,0.98192,0.24561,0.67564,0.40776,0.97147,1.42014,0.91727,0.00081638,0.00081638,0.00081638
3,30.7149,1.01488,0.95007,0.98091,0.96285,0.33136,0.67239,0.3819,1.20564,1.64359,1.0048,0.00121938,0.00121938,0.00121938
4,40.2831,1.00117,0.89608,0.96376,0.81527,0.72647,0.84603,0.53048,0.86767,0.82774,0.91208,0.00121906,0.00121906,0.00121906
5,49.8108,0.92654,0.82331,0.95318,0.8614,0.72577,0.82246,0.52294,0.82789,0.63684,0.89717,0.00120875,0.00120875,0.00120875
6,59.404,0.89398,0.76931,0.94107,0.88136,0.72051,0.82461,0.53846,0.81649,0.67568,0.91165,0.00119844,0.00119844,0.00119844
7,68.954,0.89216,0.73271,0.94834,0.88586,0.76057,0.85201,0.52132,0.81303,0.55761,0.90912,0.00118812,0.00118812,0.00118812
8,78.5613,0.87711,0.68708,0.92555,0.88527,0.72639,0.82537,0.56501,0.71036,0.55544,0.8818,0.00117781,0.00117781,0.00117781
9,88.2245,0.87743,0.6679,0.93462,0.87749,0.83051,0.84088,0.52974,0.81602,0.52893,0.90552,0.0011675,0.0011675,0.0011675
10,97.8811,0.85653,0.63871,0.91952,0.88016,0.82828,0.8672,0.57337,0.75415,0.51634,0.91885,0.00115719,0.00115719,0.00115719
11,107.694,0.82799,0.65343,0.92793,0.87046,0.74756,0.81372,0.53787,0.78548,0.54496,0.89568,0.00114688,0.00114688,0.00114688
12,117.301,0.81379,0.5782,0.9068,0.85435,0.75913,0.84281,0.58063,0.70812,0.49059,0.88562,0.00113656,0.00113656,0.00113656
13,126.959,0.82311,0.5818,0.91563,0.8713,0.84932,0.87147,0.57965,0.83241,0.53552,0.90561,0.00112625,0.00112625,0.00112625
14,136.507,0.822,0.59465,0.90926,0.90616,0.78948,0.86862,0.5637,0.78505,0.48784,0.88566,0.00111594,0.00111594,0.00111594
15,146.051,0.79983,0.56293,0.90492,0.79745,0.83368,0.84379,0.5747,0.77385,0.46363,0.89618,0.00110563,0.00110563,0.00110563
